room		00:00:00.000	0.0	00:01:03.900	63.9	00:01:03.900	63.9	mproom
room		00:01:04.000	64.0	00:01:09.900	69.9	00:00:05.900	5.9	floor
room		00:01:10.000	70.0	00:01:48.900	108.9	00:00:38.900	38.9	kitchen
room		00:01:49.000	109.0	00:01:55.500	115.5	00:00:06.500	6.5	floor
room		00:01:55.600	115.6	00:02:10.500	130.5	00:00:14.900	14.9	mproom
room		00:02:10.600	130.6	00:02:13.300	133.3	00:00:02.700	2.7	floor
room		00:02:13.400	133.4	00:02:19.200	139.2	00:00:05.800	5.8	foyer
room		00:02:19.300	139.3	00:02:23.300	143.3	00:00:04.000	4.0	entrance bathroom
room		00:02:23.400	143.4	00:04:31.600	271.6	00:02:08.200	128.2	bathroom
room		00:04:31.700	271.7	00:04:35.500	275.5	00:00:03.800	3.8	entrance bathroom
room		00:04:35.600	275.6	00:04:46.800	286.8	00:00:11.200	11.2	foyer
room		00:04:46.900	286.9	00:04:49.200	289.2	00:00:02.300	2.3	floor
room		00:04:49.300	289.3	00:11:23.000	683.0	00:06:33.700	393.7	mproom
room		00:11:23.100	683.1	00:11:29.100	689.1	00:00:06.000	6.0	floor
room		00:11:29.200	689.2	00:13:14.500	794.5	00:01:45.300	105.3	kitchen
room		00:13:14.600	794.6	00:13:22.500	802.5	00:00:07.900	7.9	floor
room		00:13:22.600	802.6	00:17:39.100	1059.1	00:04:16.500	256.5	mproom
room		00:17:39.200	1059.2	00:17:41.400	1061.4	00:00:02.200	2.2	floor
room		00:17:41.500	1061.5	00:17:47.100	1067.1	00:00:05.600	5.6	foyer
room		00:17:47.200	1067.2	00:18:12.500	1092.5	00:00:25.300	25.3	entrance bathroom
room		00:18:12.600	1092.6	00:18:21.900	1101.9	00:00:09.300	9.3	foyer
room		00:18:22.000	1102.0	00:18:29.900	1109.9	00:00:07.900	7.9	floor
room		00:18:30.000	1110.0	00:18:40.800	1120.8	00:00:10.800	10.8	kitchen
room		00:18:40.900	1120.9	00:18:51.700	1131.7	00:00:10.800	10.8	floor
room		00:18:51.800	1131.8	00:19:05.000	1145.0	00:00:13.200	13.2	mproom
room		00:19:05.100	1145.1	00:19:57.100	1197.1	00:00:52.000	52.0	floor
room		00:19:57.200	1197.2	00:21:51.500	1311.5	00:01:54.300	114.3	mproom
